[09-Jan-2023 15:03:21 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:24 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:31 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:33 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:35 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:36 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:43 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:43 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:52 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:03:52 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:04:24 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:04:28 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:04:29 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:04:30 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:04:56 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 63
[09-Jan-2023 15:04:56 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 73
[09-Jan-2023 15:04:56 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 89
[09-Jan-2023 15:04:56 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 102
[09-Jan-2023 15:04:56 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 111
[09-Jan-2023 15:04:56 UTC] PHP Deprecated:  http_build_query(): Passing null to parameter #2 ($numeric_prefix) of type string is deprecated in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Transport/cURL.php on line 345
[09-Jan-2023 15:04:57 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 40
[09-Jan-2023 15:04:57 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 51
[09-Jan-2023 15:04:57 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 68
[09-Jan-2023 15:04:57 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 82
[09-Jan-2023 15:04:57 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 91
[09-Jan-2023 15:04:58 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 63
[09-Jan-2023 15:04:58 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 73
[09-Jan-2023 15:04:58 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 89
[09-Jan-2023 15:04:58 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 102
[09-Jan-2023 15:04:58 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 111
[09-Jan-2023 15:04:58 UTC] PHP Deprecated:  http_build_query(): Passing null to parameter #2 ($numeric_prefix) of type string is deprecated in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Transport/cURL.php on line 345
[09-Jan-2023 15:04:59 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 40
[09-Jan-2023 15:04:59 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 51
